44,16,41
35,34,13
27,16,9
49,30,20
42,20,24
50,8,40
54,14,31
56,12,32
33,16,17
53,19,29
28,14,11
73,20,39
81,20,48
38,12,27
41,13,30
47,16,30
43,17,29
45,20,27
36,1,9
39,5,5
37,0,36
40,39,35
42,1,39
45,19,20
42,18,20
37,14,13
12,8,6
12,9,5
10,7,2
15,12,7
54,45,8
58,49,7
65,47,6
47,24,39
60,14,1
62,25,14
56,41,25
27,7,17
18,16,16
16,0,3
17,10,2
15,4,9
48,41,10
45,40,13
52,47,15
40,0,0
24,22,22
65,51,17
34,31,13
55,25,34
54,25,28
60,24,37
67,29,37
62,22,38
71,24,46
32,23,11
44,33,11
53,26,0
56,31,0
18,0,7
29,19,7
36,18,7
43,26,6
36,25,4
34,23,9
42,37,10
31,27,11
45,17,26
59,21,34
66,24,39
66,19,38
50,31,35
60,35,35
32,18,3
38,17,0
31,19,2
48,21,23
59,26,31
61,22,29
63,27,26
63,21,58
41,15,30
49,15,0
44,16,0
45,19,0
51,27,22
51,37,7
54,33,7
41,29,0
44,32,29
29,23,21
27,14,23
13,6,8
15,3,6
12,3,8
17,0,12
29,27,17
20,1,17
20,18,20
21,16,20
21,21,16
26,19,19
23,18,20
29,24,22
34,28,23
34,28,27
38,27,30
12,10,3
19,3,8
20,19,10
19,11,17
42,18,23
25,16,6
20,14,6
40,19,19
39,22,17
34,25,15
24,23,11
31,19,19
48,21,31
43,23,20
44,20,23
12,2,5
9,6,6
69,32,38
44,37,28
47,41,32
40,39,15
